event_id,gate,category,sample,loss
0,6,1,1,901765476.2
1,9,3,1,5961674471.0
2,37,2,1,3450533798.0
3,13,1,3,862271424.2
4,10,1,3,875196788.1
5,46,2,4,3450533798.0
6,2,3,4,5749773962.0
7,27,1,4,1205057041.0
8,14,1,5,1289941312.0
9,9,3,5,5961674471.0
10,26,1,10,1205057041.0
11,9,1,10,524354473.6
12,14,1,11,903610268.5
13,12,1,11,752759698.2
14,21,4,13,14948036345.0
15,17,3,16,7188343121.0
16,12,1,16,582905238.1
17,12,1,18,442883641.6
18,1,1,18,764284144.1
19,18,3,20,7188343121.0
20,46,4,20,14948036345.0
21,12,1,22,617178872.7
22,12,1,22,535373176.7
23,49,3,23,6613654285.0
24,22,1,24,947222683.7
25,49,1,26,1112862749.0
26,46,1,27,524354473.6
27,21,1,27,947222683.7
28,21,2,28,4661767010.0
29,1,1,29,1049990012.0
30,32,1,31,821323293.5
31,12,1,31,621626472.3
32,18,3,33,7188343121.0
33,32,1,34,821323293.5
34,22,1,35,947222683.7
35,37,2,38,3450533798.0
36,37,1,38,1361850958.0
37,2,3,39,5749773962.0
38,10,1,39,1487338883.0
39,37,1,39,1361850958.0
40,22,1,40,947222683.7
41,51,3,41,6441419566.0
42,22,1,41,947222683.7
43,62,2,41,2733219431.0
44,12,1,43,586210453.9
45,46,1,44,524354473.6
46,10,1,47,1270243919.0
47,46,2,47,3450533798.0
48,21,1,48,1624871268.0
49,49,1,48,789122824.2
50,40,4,48,14853619650.0
51,18,3,49,7188343121.0
52,14,1,50,1145385758.0
53,12,3,50,8126555557.0
54,52,2,51,4224952563.0
55,10,1,51,1377578370.0
56,53,1,51,1316785465.0
57,1,3,51,5749773962.0
58,6,1,51,901765476.2
59,20,2,52,4661767010.0
60,53,1,54,1316785465.0
61,53,1,55,1316785465.0
62,6,1,56,901765476.2
63,53,1,56,1316785465.0
64,12,1,56,556389049.3
65,21,1,56,947222683.7
66,61,1,56,462562513.5
67,1,1,57,986264749.2
68,20,4,57,26234121822.0
69,12,1,58,1859510733.0
70,14,1,58,781400850.3
71,46,4,59,14948036345.0
72,12,1,60,790814380.2
73,10,1,60,1018800977.0
74,51,1,61,708957793.2
75,62,1,61,462562513.5
76,37,2,61,3450533798.0
77,48,3,61,8097986358.0
78,21,4,62,14948036345.0
79,10,1,63,871750367.1
80,61,2,64,3611421792.0
81,40,4,65,14853619650.0
82,29,1,66,821323293.5
83,12,1,67,607453335.9
84,11,2,69,2544197467.0
85,11,2,70,2544197467.0
86,37,2,71,3450533798.0
87,51,3,72,15046096574.0
88,53,2,72,4224952563.0
89,21,1,74,947222683.7
90,40,4,74,14853619650.0
91,51,3,74,9809122411.0
92,48,3,75,8097986358.0
93,8,2,75,2424371639.0
94,21,1,76,1624871268.0
95,58,1,77,775055478.6
96,61,2,79,3611421792.0
97,52,1,79,699449448.1
98,20,2,81,4661767010.0
99,52,1,81,1316785465.0
100,1,1,81,770286994.3
101,49,1,82,838118557.4
102,11,2,82,2544197467.0
103,46,1,84,524354473.6
104,58,1,86,775055478.6
105,9,3,86,5961674471.0
106,51,3,86,8172628972.0
107,40,4,87,14853619650.0
108,2,1,87,1068982497.0
109,1,1,89,813020053.0
110,46,4,90,14948036345.0
111,51,3,91,9562410956.0
112,29,1,93,821323293.5
113,1,1,93,735669161.3
114,51,3,94,10563970674.0
115,12,1,96,801989517.9
116,52,2,97,4224952563.0
117,9,1,98,524354473.6
118,9,3,98,5961674471.0
119,1,1,98,830213999.7
120,46,1,99,524354473.6
121,12,1,100,314330506.3
122,2,3,100,5749773962.0
123,9,3,101,5961674471.0
124,49,3,102,6613654285.0
125,53,2,102,4224952563.0
126,51,3,102,12845131424.0
127,51,3,103,5655054063.0
128,49,3,105,6613654285.0
129,46,2,105,3450533798.0
130,14,3,107,8938953132.0
131,11,2,108,2544197467.0
132,61,1,108,462562513.5
133,14,1,110,1289941312.0
134,11,1,110,844710974.8
135,12,1,110,722669522.0
136,51,3,110,4221808299.0
137,40,4,111,14853619650.0
138,18,3,112,7188343121.0
139,46,2,112,3450533798.0
140,46,2,115,3450533798.0
141,12,1,116,962605472.5
142,14,3,119,8938953132.0
143,12,3,120,8126555557.0
144,48,3,120,8097986358.0
145,32,1,120,821323293.5
146,50,1,120,795430630.9
147,48,3,121,8097986358.0
148,1,1,121,764215058.3
149,12,1,121,1092663236.0
150,52,1,122,550962135.6
151,11,2,123,2544197467.0
152,1,1,124,819295705.6
153,21,4,125,26234121822.0
154,39,2,127,2424371639.0
155,49,1,127,1266897044.0
156,61,2,128,3611421792.0
157,14,1,128,844928278.3
158,11,1,130,293217251.3
159,51,3,132,11214283727.0
160,18,3,132,7188343121.0
161,49,1,132,908933458.2
162,3,1,133,991059104.4
163,22,1,134,947222683.7
164,6,1,134,901765476.2
165,61,2,136,3611421792.0
166,52,1,137,478785849.0
167,12,1,137,1289941312.0
168,27,1,141,1247943521.0
169,62,1,141,462562513.5
170,8,2,141,2424371639.0
171,14,1,143,886256556.2
172,1,1,145,766517336.3
173,21,1,145,947222683.7
174,9,1,146,524354473.6
175,12,1,146,1872149932.0
176,12,3,147,8126555557.0
177,12,1,147,363898161.2
178,46,1,149,524354473.6
179,52,2,150,4224952563.0
180,12,1,151,781138723.4
181,50,3,153,5586023995.0
182,51,3,156,6769238605.0
183,26,1,158,1205057041.0
184,46,2,158,3450533798.0
185,27,1,159,1247943521.0
186,12,1,161,804628801.3
187,58,1,162,775055478.6
188,26,1,162,1205057041.0
189,12,1,162,586210453.9
190,2,3,162,5749773962.0
191,61,2,162,3611421792.0
192,52,1,162,509035591.2
193,2,1,163,979483319.4
194,49,1,163,744954575.9
195,13,3,164,8938953132.0
196,14,1,165,1054675387.0
197,46,1,165,524354473.6
198,46,4,165,14948036345.0
199,20,3,167,6613654285.0
200,1,1,167,1032948785.0
201,12,1,170,675358835.3
202,9,3,172,5961674471.0
203,50,1,173,795430630.9
204,12,1,173,486994862.8
205,13,1,174,1241122006.0
206,58,1,177,775055478.6
207,27,1,177,1247943521.0
208,12,1,179,330106775.1
209,8,2,180,2424371639.0
210,45,1,181,1119276599.0
211,12,1,181,328304034.9
212,51,3,181,7682503417.0
213,62,2,183,2733219431.0
214,10,1,183,1068917140.0
215,52,1,185,548096534.5
216,45,1,187,1119276599.0
217,9,1,187,524354473.6
218,53,1,188,1316785465.0
219,25,1,189,785057726.5
220,1,1,189,745137512.1
221,14,3,190,5030803098.0
222,1,1,190,729347061.5
223,27,1,192,1247943521.0
224,6,1,192,901765476.2
225,48,3,192,8097986358.0
226,12,1,197,1273636143.0
227,21,4,198,14948036345.0
228,2,1,199,1174348940.0
229,40,4,199,14853619650.0
230,14,3,200,8938953132.0
231,10,1,203,1414791515.0
232,62,1,203,462562513.5
233,12,1,203,1466145740.0
234,50,1,204,795430630.9
235,21,4,205,14948036345.0
236,50,1,205,795430630.9
237,6,1,207,901765476.2
238,14,3,207,7188343121.0
239,37,2,208,3450533798.0
240,14,1,209,642917034.8
241,58,1,209,775055478.6
242,9,3,209,5961674471.0
243,20,2,210,4661767010.0
244,60,2,211,3611421792.0
245,1,1,211,923507527.5
246,12,3,212,8126555557.0
247,12,1,212,976051062.7
248,46,1,212,524354473.6
249,39,2,213,2424371639.0
250,8,2,214,2424371639.0
251,51,3,214,10130565707.0
252,48,3,214,6613654285.0
253,8,2,215,2424371639.0
254,52,1,216,570293944.6
255,2,3,218,5749773962.0
256,22,1,221,947222683.7
257,46,2,222,3450533798.0
258,2,1,222,1150549551.0
259,8,2,223,2424371639.0
260,21,1,223,1624871268.0
261,46,1,223,524354473.6
262,6,1,224,901765476.2
263,46,1,225,524354473.6
264,29,1,226,821323293.5
265,27,1,226,1247943521.0
266,9,3,226,5961674471.0
267,61,2,226,3611421792.0
268,1,1,227,874542929.3
269,51,3,231,15232613647.0
270,51,1,233,684066630.8
271,49,3,235,6613654285.0
272,61,2,235,3611421792.0
273,51,1,236,725270953.0
274,12,3,236,8126555557.0
275,52,1,237,433712350.3
276,37,1,238,1361850958.0
277,37,2,238,3450533798.0
278,2,1,240,993419341.4
279,27,1,240,1247943521.0
280,52,1,241,1316785465.0
281,2,1,243,1019433726.0
282,50,1,243,795430630.9
283,46,1,244,524354473.6
284,12,1,244,282766011.4
285,51,3,245,8775907851.0
286,9,3,246,5961674471.0
287,9,1,246,524354473.6
288,11,2,247,2544197467.0
289,58,1,247,775055478.6
290,15,1,248,1052626439.0
291,58,1,248,775055478.6
292,46,2,248,3450533798.0
293,1,1,249,750939506.0
294,37,2,249,3450533798.0
295,51,3,249,12101340562.0
